"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"PROGRESSISTAS","PP",11,"15795386000142","Municipal","BA","PIRIPÁ","237","3580","0","9986","4","Fundo Partidário"
"PROGRESSISTAS","PP",11,"15680831000129","Municipal","BA","IBIRATAIA","001","1070","7","14337","5","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"15580203000171","Municipal","BA","CANDEIAS","001","1726","4","74731","9","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08921755000130","Municipal","BA","SALVADOR","001","1800","7","25970","5","Outros Recursos"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08921755000130","Municipal","BA","SALVADOR","001","1800","7","21487","6","Fundo Partidário"
"PARTIDO REPUBLICANO BRASILEIRO","PRB",10,"08929029000164","Municipal","BA","FEIRA DE SANTANA","001","0041","8","92684","1","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03984451000107","Municipal","BA","SALVADOR","001","1800","7","37784","8","Outros Recursos"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03984451000107","Municipal","BA","SALVADOR","001","1800","7","35785","6","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"03984451000107","Municipal","BA","SALVADOR","001","1800","7","19602","9","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"04006636000100","Municipal","BA","SOBRADINHO","001","4623","X","10879","0","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15757179000101","Municipal","BA","SANTALUZ","001","1130","4","33499","5","Outros Recursos"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15757179000101","Municipal","BA","SANTALUZ","001","1130","4","33435","9","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"06935465000110","Municipal","BA","CORRENTINA","001","2009","5","14711","7","Outros Recursos"
"PARTIDO SOCIAL LIBERAL","PSL",17,"03792473000167","Municipal","BA","ICHU","104","0077","3","3488","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"03914669000187","Municipal","BA","IRECÊ","104","0780","7","03000794","0","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"06371834000190","Municipal","BA","CORONEL JOÃO SÁ","001","3913","6","13581","x","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"06371834000190","Municipal","BA","CORONEL JOÃO SÁ","001","3913","6","13580","1","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"03708748000131","Municipal","BA","IRARÁ","001","0593","2","2223","3","Fundo Partidário"
"PARTIDO DOS TRABALHADORES","PT",13,"06980052000158","Municipal","BA","PINTADAS","756","3025","8","6893","4","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"06980052000158","Municipal","BA","PINTADAS","001","0930","X","29947","2","Outros Recursos"
"PARTIDO DOS TRABALHADORES","PT",13,"03862070000147","Municipal","BA","RIBEIRA DO AMPARO","001","0973","3","105429","5","Outros Recursos"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"03968855000107","Municipal","BA","SALVADOR","104","1032","8","02242","1","Fundo Partidário"
"PARTIDO TRABALHISTA BRASILEIRO","PTB",14,"03968855000107","Municipal","BA","SALVADOR","104","1032","8","003001355","4","Outros Recursos"
"PARTIDO TRABALHISTA CRISTÃO","PTC",36,"06354905000146","Municipal","BA","SALVADOR","104","1019",,"1087","2","Fundo Partidário"
"PARTIDO VERDE","PV",43,"14924652000127","Municipal","BA","SALVADOR","001","3158","5","43000","5","Outros Recursos"
