"PARTIDO","SIGLA","NR_PARTIDO","CNPJ","ESFERA","UF","MUNICIPIO","NR_BANCO","NR_AGENCIA","DV_AGENCIA","NR_CONTA","DV_CONTA","FONTE_RECURSO"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15023011000164","Estadual","AL","NA","001","3332",,"56483","0","Fundo Partidário"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"69981769000134","Estadual","AL","NA","001","0013","2","7674","0","Outros Recursos"
"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB",45,"69981769000134","Estadual","AL","NA","001","0013","2","275936","5","Fundo Partidário"
"PARTIDO SOCIAL LIBERAL","PSL",17,"20615109000140","Estadual","AL","NA","001","4422","9","17665","6","Outros Recursos"
"PARTIDO SOCIAL LIBERAL","PSL",17,"20615109000140","Estadual","AL","NA","001","4422","9","17664","2","Fundo Partidário"
"PARTIDO VERDE","PV",43,"01295780000107","Estadual","AL","NA","104","3593",,"1128","0","Fundo Partidário"
"PARTIDO VERDE","PV",43,"01295780000107","Estadual","AL","NA","104","3593",,"840","9","Outros Recursos"
"PARTIDO VERDE","PV",43,"01295780000107","Estadual","AL","NA","104","3593",,"681","3","Fundo Partidário"
"DEMOCRATAS","DEM",25,"09622043000183","Municipal","AL","LAGOA DA CANOA","001","4369","9","11045","0","Outros Recursos"
"MOVIMENTO DEMOCRÁTICO BRASILEIRO","MDB",15,"15682490000120","Municipal","AL","PILAR","001","2444","9","15392","3","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"09630020000110","Municipal","AL","OLHO D'ÁGUA DAS FLORES","001","11037","01","18721","6","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"09630020000110","Municipal","AL","OLHO D'ÁGUA DAS FLORES","001","11037","01","17176","X","Outros Recursos"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"12087104000164","Municipal","AL","MACEIÓ","104","2392",,"4667","4","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"12087104000164","Municipal","AL","MACEIÓ","104","2392",,"4627","5","Fundo Partidário"
"PARTIDO DEMOCRÁTICO TRABALHISTA","PDT",12,"12087104000164","Municipal","AL","MACEIÓ","104","2392",,"2789","0","Outros Recursos"
"PROGRESSISTAS","PP",11,"15146045000146","Municipal","AL","ARAPIRACA","104","4813",,"1103","2","Fundo Partidário"
"PROGRESSISTAS","PP",11,"15146045000146","Municipal","AL","ARAPIRACA","104","4813",,"1104","0","Outros Recursos"
"PROGRESSISTAS","PP",11,"15146045000146","Municipal","AL","ARAPIRACA","104","4813",,"731","0","Fundo Partidário"
"PARTIDO POPULAR SOCIALISTA","PPS",23,"15690173000156","Municipal","AL","ATALAIA","104","3545",,"536","0","Outros Recursos"
"PARTIDO REPUBLICANO PROGRESSISTA","PRP",44,"15098894000171","Municipal","AL","BELO MONTE","001","0534","7","19899","4","Fundo Partidário"
"PARTIDO SOCIALISTA BRASILEIRO","PSB",40,"15840844000118","Municipal","AL","JACARÉ DOS HOMENS","104","4592",,"643","8","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15098863000110","Municipal","AL","BELO MONTE","001","0534","7","19905","2","Fundo Partidário"
"PARTIDO SOCIAL DEMOCRÁTICO","PSD",55,"15098915000159","Municipal","AL","JACARÉ DOS HOMENS","001","0534","7","19943","5","Fundo Partidário"
